sampleId,weightG,standardDeflectionMm,collecting,measurementMethod,detectStatus,usedPointCount,rmsePx,inlierRatio,quality,timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status,measurementPositionPx,measurementPxPerMm
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3940567076206207,1.0,0.8756686203926801,4.128696060180659,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3937095105648041,1.0,0.8757076800614595,4.1620293935139925,0.0,0.0,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.25,3.1401610439971757
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39512690901756287,1.0,0.8755482227355241,4.195362726847326,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.390853613615036,1.0,0.8760289684683084,4.228696060180659,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.12022816930348
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.40194493532180786,1.0,0.8747811947762966,4.262029393513992,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39761272072792053,1.0,0.8752685689181089,4.295362726847325,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3980511724948883,1.0,0.875219243094325,4.3286960601806586,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3999045491218567,1.0,0.8750107382237912,4.362029393513992,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.40143921971321106,1.0,0.8748380877822638,4.395362726847325,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3924904465675354,1.0,0.8758448247611522,4.428696060180658,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39315932989120483,1.0,0.8757695753872394,4.462029393513991,0.0,0.0,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.25,3.142181576763386
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.38986656069755554,1.0,0.8761400119215249,4.495362726847325,0.0,0.0,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.25,3.142708014733242
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39544713497161865,1.0,0.8755121973156929,4.528696060180658,0.07961375117301941,0.07961375117301941,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.5,3.1515860104970113
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3917338252067566,1.0,0.8759299446642398,4.562029393513991,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39526689052581787,1.0,0.8755324748158454,4.595362726847324,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39233192801475525,1.0,0.8758626580983401,4.6286960601806575,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3991265296936035,1.0,0.8750982654094696,4.662029393513991,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3907769024372101,1.0,0.8760375984758139,4.695362726847324,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39251384139060974,1.0,0.8758421928435564,4.728696060180657,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39516526460647583,1.0,0.8755439077317714,4.76202939351399,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39602264761924744,1.0,0.8754474521428347,4.795362726847324,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3969177305698395,1.0,0.875346755310893,4.828696060180657,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.40326443314552307,1.0,0.8746327512711286,4.86202939351399,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.40072008967399597,1.0,0.8749189899116755,4.895362726847323,0.0,0.0,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.25,3.1401610439971757
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.40232762694358826,1.0,0.8747381419688464,4.928696060180656,0.0,0.0,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.25,3.140582156137169
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.40272217988967896,1.0,0.8746937547624111,4.96202939351399,0.0,0.0,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.25,3.140582156137169
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39151081442832947,1.0,0.8759550333768129,4.995362726847323,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3962477445602417,1.0,0.8754221287369728,5.028696060180656,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.40005552768707275,1.0,0.8749937531352042,5.062029393513989,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3978227376937866,1.0,0.8752449420094489,5.0953627268473225,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39595529437065125,1.0,0.8754550293833018,5.128696060180656,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
