sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_001_200g,120,120,0.7310681757090512,0.7310681757090511,0.7310681757090511,0.7310681757090511,1.1102230246251565e-16,0.0,-2.0661192985872082e-33,-1.2396715791523249e-31,1.0,0.5999999999999999,0.9795394265791402,200.0,0.72,0.011068175709051276
sample_002_300g,120,120,1.2327689792180336,1.1357208740822342,1.1357208740822342,1.3365100571218194,0.1003388012451203,0.20078918303958515,0.009581155572412464,0.5748693343447479,1.0,0.5999999999999999,0.9826831418834627,300.0,1.0,0.23276897921803363
sample_003_500g,120,120,2.1049093661768876,2.1852812260696246,1.9845488563623466,2.1852812260696246,0.10194814338213758,0.4109341805936053,0.009350634763558623,0.5610380858135173,1.0,0.5999999999999999,0.9827164059970528,500.0,1.86,0.24490936617688752
sample_004_600g,120,120,2.5972798775785795,2.59727987757858,2.59727987757858,2.59727987757858,4.440892098500626e-16,0.0,8.015403180530797e-33,4.809241908318478e-31,1.0,0.5999999999999999,0.9813606187701225,600.0,2.5,0.09727987757857948
sample_005_700g,120,120,3.117566039796274,3.213390808402653,3.0116544534418557,3.213390808402653,0.10074201335662614,0.20173635496079712,0.00938306600038072,0.5629839600228432,1.0,0.5999999999999999,0.9814987690746784,700.0,2.95,0.1675660397962737
sample_006_800g,120,120,3.627361779516861,3.6273617795168613,3.6273617795168613,3.6273617795168613,4.440892098500626e-16,0.0,9.364498284396357e-34,5.618698970637814e-32,1.0,0.5999999999999999,0.9804162405524403,800.0,3.68,-0.052638220483139264
sample_007_1000g,120,120,5.023386919868257,5.100130169385201,4.89993038803665,5.100130169385201,0.09733681434508507,0.20019978134855076,0.008891407857484308,0.5334844714490585,1.0,0.5999999999999999,0.9797641609935089,1000.0,5.62,-0.5966130801317435
sample_008_1200g,120,120,6.145009139603758,6.1735942241760196,5.971817156607116,6.1735942241760196,0.07036126406764345,0.20177706756890323,0.00502467734252987,0.3014806405517922,1.0,0.5999999999999999,0.9804583190754056,1200.0,6.14,0.00500913960375815
