timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status,measurementPositionPx,measurementPxPerMm
6.056571960449219,,,,,,0.6,missing:low-homography-quality,,
6.125547170639038,,,,,,0.6,missing:low-homography-quality,,
6.189650058746338,,,,,,0.6,missing:low-homography-quality,,
6.2585248947143555,,,,,,0.6,missing:low-homography-quality,,
6.32554817199707,,,,,,0.6,missing:low-homography-quality,,
6.388422012329102,,,,,,0.6,missing:low-homography-quality,,
6.456473112106323,,,,,,0.6,missing:low-homography-quality,,
6.523935079574585,,,,,,0.6,missing:low-homography-quality,,
6.589740037918091,,,,,,0.6,missing:low-homography-quality,,
6.660246133804321,,,,,,0.6,missing:low-homography-quality,,
6.72409987449646,,,,,,0.6,missing:low-homography-quality,,
6.794243812561035,,,,,,0.6,missing:low-homography-quality,,
6.858768939971924,,,,,,0.6,missing:low-homography-quality,,
6.926609039306641,,,,,,0.6,missing:low-homography-quality,,
6.991107940673828,,,,,,0.6,missing:low-homography-quality,,
7.060343027114868,,,,,,0.6,missing:low-homography-quality,,
7.123229026794434,,,,,,0.6,missing:low-homography-quality,,
7.19185996055603,,,,,,0.6,missing:low-homography-quality,,
7.2577009201049805,,,,,,0.6,missing:low-homography-quality,,
7.323310136795044,,,,,,0.6,missing:low-homography-quality,,
7.389759063720703,,,,,,0.6,missing:low-homography-quality,,
7.4558820724487305,,,,,,0.6,missing:low-homography-quality,,
7.523853063583374,,,,,,0.6,missing:low-homography-quality,,
7.594609022140503,,,,,,0.6,missing:low-homography-quality,,
7.657373905181885,,,,,,0.6,missing:low-homography-quality,,
7.726509094238281,,,,,,0.6,missing:low-homography-quality,,
7.792492151260376,,,,,,0.6,missing:low-homography-quality,,
7.85807204246521,,,,,,0.6,missing:low-homography-quality,,
7.921496152877808,,,,,,0.6,missing:low-homography-quality,,
7.98801589012146,,,,,,0.6,missing:low-homography-quality,,
8.058660984039307,,,,,,0.6,missing:low-homography-quality,,
8.123612880706787,,,,,,0.6,missing:low-homography-quality,,
8.191726922988892,,,,,,0.6,missing:low-homography-quality,,
8.260807037353516,,,,,,0.6,missing:low-homography-quality,,
8.324968099594116,,,,,,0.6,missing:low-homography-quality,,
8.389427900314331,,,,,,0.6,missing:low-homography-quality,,
8.455554008483887,,,,,,0.6,missing:low-homography-quality,,
8.52339506149292,,,,,,0.6,missing:low-homography-quality,,
8.589718103408813,,,,,,0.6,missing:low-homography-quality,,
8.65761423110962,,,,,,0.6,missing:low-homography-quality,,
8.726593017578125,,,,,,0.6,missing:low-homography-quality,,
8.791924953460693,,,,,,0.6,missing:low-homography-quality,,
8.860675811767578,,,,,,0.6,missing:low-homography-quality,,
8.92371416091919,,,,,,0.6,missing:low-homography-quality,,
8.986294031143188,,,,,,0.6,missing:low-homography-quality,,
9.059980154037476,,,,,,0.6,missing:low-homography-quality,,
9.125535011291504,,,,,,0.6,missing:low-homography-quality,,
9.19072699546814,,,,,,0.6,missing:low-homography-quality,,
