timeSec,rawMm,filteredMm,baselineMm,deflectionCm,confidence,status
4.7898268699646,-0.1679869550110311,0.274958568823223,142.3531426034668,0.0274958568823223,0.6,tracking:fallback-aruco
4.855010032653809,-0.21854590530173823,0.274958568823223,142.3531426034668,0.0274958568823223,0.6,tracking:fallback-aruco
4.925122976303101,-0.22786824780556003,0.274958568823223,142.3531426034668,0.0274958568823223,0.6,tracking:fallback-aruco
4.990499019622803,-0.22554999859994496,0.274958568823223,142.3531426034668,0.0274958568823223,0.6,tracking:fallback-aruco
5.061194896697998,-0.02434350215366976,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.122714042663574,-0.5523100000502836,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.1889808177948,-0.22284586184170507,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.255512952804565,0.25421690157691046,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.325225830078125,0.25747297243091793,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.39195990562439,-0.01496345109276831,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.460004091262817,-0.040939788041612246,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.520910024642944,-0.03435237556340098,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.5908730030059814,0.28575458291558675,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.655860900878906,0.2670428082469982,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.72261905670166,0.2651051625873322,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.7926928997039795,-0.22351536296844188,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.858038902282715,0.2591435329976264,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.922789096832275,0.2616202893180173,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
5.995105028152466,0.254948086864232,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.058197975158691,0.26037317886240885,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.1244378089904785,-0.014233315333086693,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.19057297706604,0.07384393446784543,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.255657911300659,0.07767785257226478,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.319988965988159,0.002062674820024313,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.390237808227539,0.0021653920479138833,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.459450006484985,0.2932863983065488,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.5266969203948975,-0.0070462788176541835,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
