sampleId,weightG,standardDeflectionMm,collecting,measurementMethod,detectStatus,usedPointCount,rmsePx,inlierRatio,staticAxisSource,staticPlaneTiltDeg,staticRollDeg,staticPoseRmsePx,quality,timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status,measurementPositionPx,measurementPxPerMm
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1796703189611435,1.0,pose,5.259537110604847,1.7590982290032453,0.2790168225765228,0.8997870891168713,10.413660192489598,14.245848441186956,14.245848441186956,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.80810546875,1.825393447356013
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18631026148796082,1.0,pose,5.2497760360899335,1.7617792641899224,0.2890211343765259,0.8990400955826044,10.446993525822931,14.243147436605588,14.243147436605588,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8031616210938,1.826622137595735
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18221168220043182,1.0,pose,5.253565500496733,1.7577149380486736,0.28178369998931885,0.8995011857524514,10.480326859156264,14.24234713895185,14.24234713895185,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8016967773438,1.826219228651155
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18180793523788452,1.0,pose,5.25228685414583,1.7595379212205369,0.2808094620704651,0.899546607285738,10.513660192489597,14.24644866442726,14.24644866442726,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8092041015625,1.8260055188910393
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18107260763645172,1.0,pose,5.272706211515847,1.751841385455027,0.2800696790218353,0.8996293316408991,10.54699352582293,14.256185619214415,14.256185619214415,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8270263671875,1.8253240172252143
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18586286902427673,1.0,pose,5.266508206599971,1.757508637298804,0.28397199511528015,0.8990904272347688,10.580326859156264,14.252517588301446,14.252517588301446,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8203125,1.82667400535141
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18475069105625153,1.0,pose,5.310321451368357,1.753678237961433,0.2841934263706207,0.8992155472561717,10.613660192489597,14.365993126454487,14.365993126454487,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,615.0280151367188,1.8280366679146158
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1831575483083725,1.0,pose,5.316538229621237,1.7560572919235493,0.2774457633495331,0.8993947758153081,10.64699352582293,14.289864812142588,14.289864812142588,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.888671875,1.8251989927581318
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18657095730304718,1.0,pose,5.319892494496381,1.7573079920628834,0.2830807864665985,0.8990107673034072,10.680326859156263,14.253884763459917,14.253884763459917,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8228149414062,1.82656295467517
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18341761827468872,1.0,pose,5.321738860095758,1.7573306064240448,0.279513955116272,0.8993655179440975,10.713660192489597,14.269090418880953,14.269090418880953,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8506469726562,1.8275230822441682
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18151818215847015,1.0,pose,5.320749754483706,1.7508317570323186,0.28177425265312195,0.8995792045071721,10.74699352582293,14.294333140709297,14.294333140709297,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8968505859375,1.8271753333002834
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18751752376556396,1.0,pose,5.34286427401136,1.7541676391612386,0.287435382604599,0.898904278576374,10.780326859156263,14.257119299810444,14.257119299810444,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8287353515625,1.825351026030561
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.19721336662769318,1.0,pose,5.3458558965826946,1.7607937435319652,0.30130836367607117,0.8978134962543846,10.813660192489596,14.269657296385684,14.269657296385684,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8516845703125,1.8238416661868957
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1875961422920227,1.0,pose,5.342684310464551,1.75849746664945,0.28892332315444946,0.8988954339921474,10.84699352582293,14.25298442859946,14.25298442859946,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8211669921875,1.8256702671057128
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.19716832041740417,1.0,pose,5.303947394758927,1.7618531873696157,0.3027000427246094,0.8978185639530419,10.880326859156263,14.282762170465656,14.282762170465656,14.068911216629864,489.71860155838004,1.4068911216629865,0.6,tracking:static-pose,614.8756713867188,1.827660371238284
