sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_001_200g,120,120,0.6047056866182767,0.6047056866182767,0.6047056866182767,0.6047056866182767,0.0,0.0,0.0,0.0,1.0,0.5999999999999999,0.9820059209037572,200.0,0.565,0.03970568661827678
sample_002_300g,120,120,1.0083269602296936,1.0083269602296938,1.0083269602296938,1.0083269602296938,2.220446049250313e-16,0.0,3.278226603544957e-33,1.966935962126974e-31,1.0,0.5999999999999999,0.9819237799709662,300.0,1.01,-0.001673039770306417
sample_003_500g,120,120,2.4673563671688243,2.5042255627299013,2.3031208596694857,2.5042255627299013,0.0778153650898442,0.2011047030604156,0.005791209243742746,0.3474725546245648,1.0,0.5999999999999999,0.9822519256966189,500.0,2.0,0.46735636716882434
sample_004_600g,120,120,2.711065819333405,2.7110658193334043,2.7110658193334043,2.7110658193334043,8.881784197001252e-16,0.0,-2.3622790271485706e-32,-1.4173674162891424e-30,1.0,0.5999999999999999,0.982209169762209,600.0,2.24,0.47106581933340497
sample_005_800g,120,120,3.4939928683546637,3.5298044250539444,3.326266064494285,3.5298044250539444,0.09053661636975081,0.41477046517297067,0.005879009788696908,0.3527405873218145,1.0,0.5999999999999999,0.9819992750324308,800.0,3.56,-0.06600713164533634
sample_006_1000g,120,120,4.604628645043639,4.60462864504364,4.60462864504364,4.60462864504364,8.881784197001252e-16,0.0,-1.3220145925300362e-32,-7.932087555180217e-31,1.0,0.5999999999999999,0.982575568719767,1000.0,4.025,0.5796286450436385
sample_007_1100g,120,120,5.1801419529168,5.228875905661567,5.027218170165977,5.228875905661567,0.0863283290822292,0.20165773549558974,0.007432681534264524,0.44596089205587147,1.0,0.5999999999999999,0.9820653730025515,1100.0,4.66,0.5201419529167994
sample_008_1300g,120,120,6.278568914242907,6.278568914242906,6.278568914242906,6.278568914242906,8.881784197001252e-16,0.0,-8.95811519111493e-33,-5.374869114668958e-31,1.0,0.5999999999999999,0.9814726683869958,1300.0,5.53,0.7485689142429068
sample_009_1500g,120,120,7.413449445170382,7.343923203048055,7.343923203048055,7.547414643406092,0.09650956848158444,0.2034914403580368,0.008937374609178273,0.5362424765506965,1.0,0.5999999999999999,0.9811145669128746,1500.0,6.6,0.8134494451703826
sample_010_1600g,120,120,8.086135056341146,8.17534179162574,7.973364277773829,8.17534179162574,0.10029911760076592,0.20197751385191154,0.009514683130130428,0.5708809878078257,1.0,0.5999999999999999,0.9806140066403896,1600.0,7.33,0.7561350563411455
sample_011_1800g,120,120,9.254719441345417,9.223201411743647,9.223201411743647,9.433321609088782,0.07502791753657928,0.21012019734513565,0.005092581268601363,0.3055548761160818,1.0,0.5999999999999999,0.9801167500950395,1800.0,8.4,0.8547194413454164
sample_012_2000g,120,120,10.846218946276526,10.904954926009339,10.703574424068265,10.904954926009339,0.09153341338233391,0.20138050194107393,0.007989095732255681,0.4793457439353409,1.0,0.5999999999999999,0.981536171347834,2000.0,9.8,1.0462189462765252
sample_013_2300g,120,120,12.61453013392645,12.64125725621653,12.44080383904092,12.64125725621653,0.06814105904965304,0.20045341717561094,0.004363325317944952,0.26179951907669713,1.0,0.5999999999999999,0.9822760476963593,2300.0,11.72,0.89453013392645
sample_014_2500g,120,120,13.117312876251098,13.117312876251095,13.117312876251095,13.117312876251095,3.552713678800501e-15,0.0,6.480108870059403e-32,3.888065322035642e-30,1.0,0.5999999999999999,0.9825544482655822,2500.0,11.79,1.3273128762510993
sample_015_2800g,120,120,14.840767370482347,14.869147288038043,14.668818458233087,14.869147288038043,0.06985625207113884,0.20032882980495614,0.004567288401241979,0.27403730407451876,1.0,0.5999999999999999,0.9824389054626226,2800.0,13.4,1.4407673704823463
sample_016_3000g,120,120,16.129474721116647,16.13956139987155,16.129474721116644,16.13956139987155,0.043966813368594905,0.20173357509812462,0.0018058499742294122,0.10835099845376474,1.0,0.5999999999999999,0.9823014088906348,3000.0,14.98,1.149474721116647
sample_017_3300g,120,120,17.912789923849893,17.874107417668718,17.874107417668718,18.075929189048768,0.07943950927874621,0.2018217713800503,0.005878238269183387,0.35269429615100323,1.0,0.5999999999999999,0.9819424737803637,3300.0,16.66,1.2527899238498925
sample_018_4000g,120,120,22.00404765936207,22.004047659362065,22.004047659362065,22.004047659362065,3.552713678800501e-15,0.0,-5.092671117809956e-32,-3.0556026706859734e-30,1.0,0.5999999999999999,0.9825914373248816,4000.0,20.24,1.7640476593620704
sample_019_4300g,120,120,23.907511875817605,23.907511875817608,23.907511875817608,23.907511875817608,3.552713678800501e-15,0.0,-2.2436927647067504e-32,-1.3462156588240503e-30,1.0,0.5999999999999999,0.9647325576283038,4300.0,21.7,2.2075118758176053
