sampleId,weightG,standardDeflectionMm,collecting,collectionFilteredMm,measurementMethod,detectStatus,usedPointCount,rmsePx,inlierRatio,staticAxisSource,staticPlaneTiltDeg,staticRollDeg,staticPoseRmsePx,quality,timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status,measurementPositionPx,measurementPxPerMm
sample_001_5000g,5000.0,17.4,1,15.61101403905653,target-local-scale,fallback-aruco,12,0.29798635840415955,1.0,pose,2.369566109008002,0.8796620562758501,0.35786959528923035,0.886476534679532,5.0924707094828205,15.61101403905653,15.61101403905653,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.5345458984375,1.3518459417296713
sample_001_5000g,5000.0,17.4,1,15.521298014265355,target-local-scale,fallback-aruco,12,0.3070701062679291,1.0,pose,2.2717131970611018,0.8783874746852607,0.36661097407341003,0.885454613044858,5.125804042816154,15.431581989474184,15.431581989474184,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.2901611328125,1.3560375897153976
sample_001_5000g,5000.0,17.4,1,15.481235014183785,target-local-scale,fallback-aruco,12,0.30370303988456726,1.0,pose,2.317576622745563,0.8735090727359397,0.3613795340061188,0.8858334080129862,5.159137376149487,15.471219264163391,15.471219264163391,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3441467285156,1.3547002592477106
sample_001_5000g,5000.0,17.4,1,15.45658327330585,target-local-scale,fallback-aruco,12,0.2911680340766907,1.0,pose,2.2846783467431084,0.8760220092794656,0.34674254059791565,0.8872435961663723,5.19247070948282,15.360889167741878,15.360889167741878,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.1938781738281,1.3560930950895076
sample_001_5000g,5000.0,17.4,1,15.436210744819178,target-local-scale,fallback-aruco,12,0.29071277379989624,1.0,pose,2.1928763201540127,0.8810958478652766,0.3470352590084076,0.8872948129475117,5.225804042816153,15.360351409351521,15.360351409351521,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.1931457519531,1.3571362656310122
sample_001_5000g,5000.0,17.4,1,15.407360007176543,target-local-scale,fallback-aruco,12,0.30654409527778625,1.0,pose,2.345130557965219,0.8815608827424778,0.3639686703681946,0.885513789281249,5.259137376149487,15.4077861807009,15.4077861807009,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.25775146484375,1.3539720446020427
sample_001_5000g,5000.0,17.4,1,15.387949618076618,target-local-scale,fallback-aruco,12,0.30184727907180786,1.0,pose,2.198977036954424,0.8732325381669528,0.358601838350296,0.8860421811044216,5.29247070948282,15.384124811525206,15.384124811525206,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.22552490234375,1.355637436643734
sample_001_5000g,5000.0,17.4,1,15.386227446831498,target-local-scale,fallback-aruco,12,0.31236058473587036,1.0,pose,2.2560460529180566,0.8707588707215569,0.3744383156299591,0.8848594342172146,5.325804042816153,15.442516410078102,15.442516410078102,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3050537109375,1.3559109878243234
sample_001_5000g,5000.0,17.4,1,15.410308267551672,target-local-scale,fallback-aruco,12,0.31409481167793274,1.0,pose,2.2986367572700956,0.8762478048731953,0.3738168179988861,0.8846643336862325,5.359137376149486,15.486186872694985,15.486186872694985,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3645324707031,1.3548044913972597
sample_001_5000g,5000.0,17.4,1,15.442096958533622,target-local-scale,fallback-aruco,12,0.31088680028915405,1.0,pose,2.290125671392376,0.8731860129079895,0.3713107109069824,0.8850252349674702,5.3924707094828195,15.484976916316683,15.484976916316683,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3628845214844,1.35531713382512
sample_001_5000g,5000.0,17.4,1,15.4784848281491,target-local-scale,fallback-aruco,12,0.31079405546188354,1.0,pose,2.300787927977861,0.8768632480488143,0.37144967913627625,0.8850356687605381,5.425804042816153,15.51887810150875,15.51887810150875,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.4090576171875,1.3543874840675645
sample_001_5000g,5000.0,17.4,1,15.487451949308298,target-local-scale,fallback-aruco,12,0.305143266916275,1.0,pose,2.319961638589986,0.8663711153111845,0.3630589544773102,0.885671382471919,5.459137376149486,15.519460673098305,15.519460673098305,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.40985107421875,1.3549734322988816
sample_001_5000g,5000.0,17.4,1,15.512226926484022,target-local-scale,fallback-aruco,12,0.29956188797950745,1.0,pose,2.3685165313269003,0.8703990481397882,0.3564707040786743,0.8862992876023054,5.492470709482819,15.515337858772236,15.515337858772236,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.40423583984375,1.3557793258961588
sample_001_5000g,5000.0,17.4,1,15.50747314231327,target-local-scale,fallback-aruco,12,0.26884564757347107,1.0,pose,2.272923752691327,0.8808288092224973,0.3217725157737732,0.8897548646479845,5.525804042816152,15.406957136515766,15.406957136515766,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.2566223144531,1.3557448806239052
sample_001_5000g,5000.0,17.4,1,15.507493308252908,target-local-scale,fallback-aruco,12,0.2900191843509674,1.0,pose,2.290191606211466,0.8705200565870035,0.3472910523414612,0.8873728417605161,5.5591373761494856,15.485313015310656,15.485313015310656,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.36334228515625,1.3542331182409082
sample_001_5000g,5000.0,17.4,1,15.507699000837219,target-local-scale,fallback-aruco,12,0.3014698326587677,1.0,pose,2.381446879952614,0.8823432186773372,0.3573269844055176,0.8860846438258886,5.592470709482819,15.522306311247275,15.522306311247275,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.4137268066406,1.353989440551711
sample_001_5000g,5000.0,17.4,1,15.509188591578507,target-local-scale,fallback-aruco,12,0.2969638407230377,1.0,pose,2.4173295905233276,0.8845237577479526,0.35295167565345764,0.8865915679186582,5.625804042816152,15.544287185453104,15.544287185453104,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.44366455078125,1.3521809962640083
sample_001_5000g,5000.0,17.4,1,15.48579834225795,target-local-scale,fallback-aruco,12,0.2699640095233917,1.0,pose,2.2543460189492195,0.8861478628865093,0.3242364823818207,0.8896290489286184,5.659137376149485,15.475790210481422,15.475790210481422,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3503723144531,1.3536124244997838
sample_001_5000g,5000.0,17.4,1,15.498401158267953,target-local-scale,fallback-aruco,12,0.307397723197937,1.0,pose,2.263039912876146,0.8687997498750644,0.36586886644363403,0.885417756140232,5.692470709482818,15.495709677524218,15.495709677524218,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.37750244140625,1.3539100697009787
sample_001_5000g,5000.0,17.4,1,15.509140193323375,target-local-scale,fallback-aruco,12,0.3053472936153412,1.0,pose,2.2611679034954424,0.8689626449604472,0.36282429099082947,0.8856484294682742,5.725804042816152,15.509019197685546,15.509019197685546,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3956298828125,1.3534892450258842
sample_001_5000g,5000.0,17.4,1,15.494482243998227,target-local-scale,fallback-aruco,12,0.2995340824127197,1.0,pose,2.238608343726495,0.868376118124254,0.35616686940193176,0.8863024157285689,5.759137376149485,15.433284891043646,15.433284891043646,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.29248046875,1.3528824985109371
sample_001_5000g,5000.0,17.4,1,15.481128806901689,target-local-scale,fallback-aruco,12,0.31229305267333984,1.0,pose,2.3117597557618206,0.8829026919430359,0.36913996934890747,0.8848670315742492,5.792470709482818,15.481974431970524,15.481974431970524,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3587951660156,1.354445741167839
sample_001_5000g,5000.0,17.4,1,15.481088475022412,target-local-scale,fallback-aruco,12,0.3025144934654236,1.0,pose,2.3229723851734816,0.8678298756328834,0.3615144193172455,0.8859671194851398,5.825804042816151,15.475118012493477,15.475118012493477,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3494567871094,1.3542116934710546
sample_001_5000g,5000.0,17.4,1,15.471786599265215,target-local-scale,fallback-aruco,12,0.31823694705963135,1.0,pose,2.3579763702821586,0.878105015514739,0.3781222403049469,0.8841983434557915,5.8591373761494845,15.420669975469862,15.420669975469862,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.2752990722656,1.3542809547653867
sample_001_5000g,5000.0,17.4,1,15.472422498561812,target-local-scale,fallback-aruco,12,0.337647944688797,1.0,pose,2.3457778275441794,0.8793419831677434,0.40333878993988037,0.8820146062225104,5.892470709482818,15.519617519295492,15.519617519295492,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.4100646972656,1.3527656472743457
sample_001_5000g,5000.0,17.4,1,15.480714732941113,target-local-scale,fallback-aruco,12,0.2773057520389557,1.0,pose,2.321545409456771,0.8978440414532887,0.33221307396888733,0.8888031028956175,5.925804042816151,15.491497236799757,15.491497236799757,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.37176513671875,1.351502082141913
sample_001_5000g,5000.0,17.4,1,15.471884740171458,target-local-scale,fallback-aruco,12,0.30550944805145264,1.0,pose,2.263859661417759,0.8771588826519194,0.36105358600616455,0.8856301870942115,5.959137376149484,15.414799446375135,15.414799446375135,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.2673034667969,1.3553954433447313
sample_001_5000g,5000.0,17.4,1,15.484943306417286,target-local-scale,fallback-aruco,12,0.30814701318740845,1.0,pose,2.2602671668363463,0.8763054278542405,0.36570072174072266,0.8853334610164165,5.992470709482817,15.501669833017338,15.501669833017338,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.3856201171875,1.352544479332303
sample_001_5000g,5000.0,17.4,1,15.49938167106637,target-local-scale,fallback-aruco,12,0.30384254455566406,1.0,pose,2.3698092741934023,0.8845750301490427,0.361000657081604,0.8858177137374877,6.025804042816151,15.542629097082838,15.542629097082838,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.44140625,1.3512282173733448
sample_001_5000g,5000.0,17.4,1,15.517482618485776,target-local-scale,fallback-aruco,12,0.3259546160697937,1.0,pose,2.507925334979401,0.8715552917758468,0.3878795802593231,0.8833301056921482,6.059137376149484,15.82129997628559,15.82129997628559,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.8209533691406,1.351828949371777
sample_002_4909g,4909.0,17.3,1,15.54731207639886,target-local-scale,fallback-aruco,12,0.30171141028404236,1.0,pose,2.2870970867957277,0.8978768545078113,0.3556287884712219,0.8860574663430453,7.765797122319522,15.54731207639886,15.54731207639886,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.4477844238281,1.3493330196913706
sample_002_4909g,4909.0,17.3,1,15.574199995916693,target-local-scale,fallback-aruco,12,0.2967018187046051,1.0,pose,2.2638553142641507,0.8883500104102854,0.3506516218185425,0.8866210453957318,7.799130455652855,15.60108791543453,15.60108791543453,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.5210266113281,1.349454575451951
sample_002_4909g,4909.0,17.3,1,15.60705479290753,target-local-scale,fallback-aruco,12,0.2984853982925415,1.0,pose,2.4029837994744363,0.9018960367814896,0.35387367010116577,0.886420392692089,7.832463788986188,15.714532529200191,15.714532529200191,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.675537109375,1.347775399901029
sample_002_4909g,4909.0,17.3,1,15.596383089683897,target-local-scale,fallback-aruco,12,0.27991339564323425,1.0,pose,2.3484914917973336,0.9021426408955114,0.3322000503540039,0.8885097429901362,7.865797122319521,15.57948795342187,15.57948795342187,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.4916076660156,1.3500120153304416
sample_002_4909g,4909.0,17.3,1,15.602554651444226,target-local-scale,fallback-aruco,12,0.2982761561870575,1.0,pose,2.2145886810231596,0.8882235066202402,0.35286012291908264,0.886443932428956,7.8991304556528545,15.600012398653815,15.600012398653815,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.5195617675781,1.3488150904039373
sample_002_4909g,4909.0,17.3,1,15.604780971180302,target-local-scale,fallback-aruco,12,0.29116544127464294,1.0,pose,2.298994835919658,0.894653025211576,0.34367308020591736,0.8872438878566026,7.932463788986188,15.584417405333472,15.584417405333472,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.4983215332031,1.3488737366883143
sample_002_4909g,4909.0,17.3,1,15.606667158734478,target-local-scale,fallback-aruco,12,0.28399452567100525,1.0,pose,2.369265107120048,0.9015680678540353,0.3373544216156006,0.888050615862012,7.965797122319521,15.632524374670798,15.632524374670798,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.5638427734375,1.3471645910893801
sample_002_4909g,4909.0,17.3,1,15.601320495938356,target-local-scale,fallback-aruco,12,0.29242533445358276,1.0,pose,2.2804775362160354,0.8897034499747332,0.34666773676872253,0.8871021498739718,7.999130455652854,15.625421482598169,15.625421482598169,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.5541687011719,1.3492349227974452
sample_002_4909g,4909.0,17.3,1,15.62368721178927,target-local-scale,fallback-aruco,12,0.2988475263118744,1.0,pose,2.24800319908786,0.8876020886562698,0.353960782289505,0.8863796532899141,8.032463788986188,15.65582723825292,15.65582723825292,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.5955810546875,1.3526651312202929
sample_002_4909g,4909.0,17.3,1,15.62417791632047,target-local-scale,fallback-aruco,12,0.2971079349517822,1.0,pose,2.333844367725123,0.8921406763468368,0.35124921798706055,0.8865753573179245,8.065797122319522,15.608190807507157,15.608190807507157,15.39730687935004,634.5403381501742,1.5397306879350041,0.6,tracking:static-pose,470.53070068359375,1.3489384617324183
