sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm,predictedStandardDeflectionMm,predictedPhoneMinusStandardMm,correctionModelType
sample_001_3500g,120,120,17.371361667998645,17.455381389853727,17.25373405740153,17.455381389853727,0.0994134755697007,0.2016473324521968,0.009205293845679027,0.5523176307407416,1.0,0.5999999999999999,0.9791702058678492,3500.0,16.47,0.9013616679986463,13.528749999999999,3.8426116679986464,monotonic_phone_deflection
sample_002_3800g,120,120,19.204119820045282,19.207485104315452,19.207485104315452,19.207485104315452,0.025849238962169837,0.20191705621007827,0.0006249560061837512,0.03749736037102507,1.0,0.5999999999999999,0.9790783908916637,3800.0,18.0,1.2041198200452818,13.528749999999999,5.675369820045283,monotonic_phone_deflection
sample_003_4500g,120,120,23.008665023798248,23.008665023798255,23.008665023798255,23.008665023798255,7.105427357601002e-15,0.0,-4.930836457111565e-32,-2.958501874266939e-30,1.0,0.5999999999999999,0.9783419374050571,4500.0,21.63,1.3786650237982485,13.528749999999999,9.479915023798249,monotonic_phone_deflection
sample_004_4800g,120,120,24.721948167158647,24.721948167158647,24.721948167158647,24.721948167158647,0.0,0.0,0.0,0.0,1.0,0.5999999999999999,0.9440709245453277,4800.0,23.1,1.6219481671586458,13.528749999999999,11.193198167158648,monotonic_phone_deflection
sample_005_5040g,120,120,26.868766604029624,26.932235638221165,26.726390121924254,26.932235638221165,0.09506049553214825,0.20584551629691106,0.008366178305730186,0.5019706983438111,1.0,0.5999999999999999,0.8658538322406822,5040.0,24.75,2.1187666040296236,13.528749999999999,13.340016604029625,monotonic_phone_deflection
sample_006_5003g,120,120,28.62442565605035,28.624425656050363,28.624425656050363,28.624425656050363,1.4210854715202004e-14,0.0,-2.956874915330757e-32,-1.774124949198454e-30,1.0,0.5999999999999999,0.9792052276385947,5003.0,25.59,3.034425656050349,13.528749999999999,15.09567565605035,monotonic_phone_deflection
sample_007_5200g,120,120,30.113606855141214,30.11360685514122,30.11360685514122,30.11360685514122,7.105427357601002e-15,0.0,-4.930863070401839e-32,-2.9585178422411035e-30,1.0,0.5999999999999999,0.9795328640658408,5200.0,26.65,3.463606855141215,13.528749999999999,16.584856855141215,monotonic_phone_deflection
sample_008_5300g,120,120,30.954102547148484,30.9760236655011,30.773674880707794,30.9760236655011,0.06289019184365235,0.20234878479330476,0.0036620062945350042,0.21972037767210026,1.0,0.5999999999999999,0.9804288304643706,5300.0,27.3,3.654102547148483,13.528749999999999,17.425352547148485,monotonic_phone_deflection
