sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_001_5123.7g,80,80,14.191459581989994,14.273158492230086,14.068911216629864,14.273158492230086,0.10006032131483066,0.20424727560022227,0.013766753538760642,0.8260052123256385,1.0,0.5999999999999999,0.8994919478264638,5123.7,14.52,-0.32854041801000555
sample_002_4993.1g,80,80,14.220986033646785,14.220986033646785,14.220986033646785,14.220986033646785,0.0,0.0,0.0,0.0,1.0,0.5999999999999999,0.8975573619105852,4993.1,14.38,-0.15901396635321596
sample_003_4945g,80,80,14.220986033646785,14.220986033646785,14.220986033646785,14.220986033646785,0.0,0.0,0.0,0.0,1.0,0.5999999999999999,0.8962985610496252,4945.0,14.2,0.02098603364678553
sample_004_4874.7g,80,80,14.401455266135695,14.421507403078909,14.220986033646785,14.421507403078909,0.06015641082963724,0.20052136943212417,0.005076027910402387,0.3045616746241432,1.0,0.5999999999999999,0.8967461015377193,4874.7,13.92,0.4814552661356952
sample_005_4792.9g,80,80,13.939084908516431,13.939084908516428,13.939084908516428,13.939084908516428,3.552713678800501e-15,0.0,-5.46389842255009e-32,-3.278339053530054e-30,1.0,0.5999999999999999,0.8964235953660682,4792.9,13.75,0.18908490851643123
sample_006_4741.3g,80,80,14.139247989211515,14.139247989211514,14.139247989211514,14.139247989211514,1.7763568394002505e-15,0.0,-3.2960716959797936e-32,-1.9776430175878763e-30,1.0,0.5999999999999999,0.8941521745407954,4741.3,14.1,0.039247989211515844
