sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_049_878.7g,80,80,6.2709745595066995,6.269421609433206,6.245232470164804,6.30392875438671,0.018728416220611867,0.07916098665151505,0.0004117574433117227,0.02470544659870336,1.0,0.5999999999999999,0.8951616578083484,878.7,4.78,1.4909745595066992
sample_034_989.1g,28,28,5.095161455383929,5.095034890105625,5.038495264229319,5.130949151425396,0.031043690221595033,0.09709765496280287,0.0011949514930417369,0.07169708958250422,1.0,0.6,0.8840312254295818,989.1,6.66,-1.5648385446160713
sample_048_1072.7g,80,80,6.664110643088245,6.65408595101106,6.613741524510519,6.7448681862733295,0.03919475681206462,0.1465397480158881,0.0001389523078637519,0.008337138471825115,1.0,0.5999999999999999,0.8959721506084314,1072.7,4.97,1.694110643088245
sample_033_1092.7g,28,28,6.233291101974422,6.225668544840612,6.204831841236666,6.275750028547731,0.020720426090381102,0.07321401231909519,0.0034303253039989334,0.205819518239936,1.0,0.6,0.8849051892305059,1092.7,7.55,-1.3167088980255777
sample_032_1162.8g,28,28,6.517507238466949,6.518509581695261,6.439638911274604,6.571819072173492,0.04347215113499488,0.14042574473782476,0.008187282610770395,0.4912369566462237,1.0,0.6,0.8843175106495618,1162.8,8.02,-1.502492761533051
sample_031_1243.6g,28,28,6.778088341540667,6.766509635170016,6.7484311839766065,6.821960815657642,0.02750461632437411,0.11636508995729056,-0.008968799357057612,-0.5381279614234568,1.0,0.6,0.8847027501038143,1243.6,8.18,-1.4019116584593325
sample_047_1305.7g,80,80,6.918830049791614,6.917673376491443,6.862764418156486,6.9850490381765535,0.034325086638411335,0.13201878389555866,-0.0010884328550919023,-0.06530597130551413,1.0,0.5999999999999999,0.8965352613432334,1305.7,5.57,1.348830049791614
sample_030_1361.2g,28,28,7.199809142401437,7.190322624260018,7.144566219253542,7.282970642235013,0.042904420567963654,0.14657859698748865,0.010891358702324425,0.6534815221394654,1.0,0.6,0.884431316299098,1361.2,8.75,-1.5501908575985626
sample_029_1464.4g,28,28,7.564018463937992,7.557998118716702,7.514753986470374,7.624523133670945,0.03419197007732646,0.11534827846752371,0.00017874757646596135,0.010724854587957681,1.0,0.6,0.8851104421620922,1464.4,9.15,-1.5859815360620084
sample_046_1542.5g,80,80,7.303236437783253,7.3038524280024415,7.272634456037457,7.3346696114387315,0.018619010584924465,0.06770870500147019,0.00019737562080355005,0.011842537248213002,1.0,0.5999999999999999,0.8961106361192652,1542.5,5.83,1.4732364377832532
sample_028_1558.7g,28,28,7.903700301194919,7.9188539405196785,7.817187859981299,7.944659262771326,0.04623407688412268,0.196237447412984,0.008352198768746268,0.5011319261247761,1.0,0.6,0.8844824267498084,1558.7,9.27,-1.3662996988050802
sample_027_1667.4g,26,26,8.269226752830374,8.2619628391769,8.223697072449099,8.31750686701161,0.03429923349884325,0.10376541087123492,-0.012758871294263823,-0.7655322776558294,1.0,0.5999999999999999,0.884558168242757,1667.4,9.49,-1.2207732471696264
sample_045_1750.7g,80,80,7.524125337990663,7.529328177616678,7.480458031642171,7.547582688188746,0.024268949856542824,0.11595486831991408,0.0006914829096580665,0.04148897457948399,1.0,0.5999999999999999,0.895637307574507,1750.7,6.28,1.2441253379906625
sample_026_1794.7g,27,27,8.637106494773365,8.64092812290713,8.597465503908122,8.668546542385066,0.02519889878145665,0.10079743268845576,-0.0069233082634552355,-0.41539849580731414,1.0,0.6,0.8850937272856633,1794.7,9.95,-1.3128935052266346
sample_025_1907.6g,27,27,8.91889149298072,8.924293184725705,8.872964953003747,8.96073079699229,0.026006991935385033,0.11229470707428213,-0.0073411534814443544,-0.44046920888666125,1.0,0.6,0.8851339285075664,1907.6,10.3,-1.381108507019281
sample_044_1946.3g,80,80,7.816434514216839,7.816155362268553,7.780680463008285,7.852490594728682,0.023157648210225843,0.08752047721478462,-0.00023102289955393123,-0.013861373973235874,1.0,0.5999999999999999,0.8962539044907316,1946.3,6.95,0.8664345142168388
sample_024_2028.5g,28,28,9.24898282220798,9.258242713599177,9.178484092043046,9.293719418841995,0.03632358342198809,0.12987851017496332,0.005407025391920514,0.3244215235152308,1.0,0.6,0.8855547348782419,2028.5,10.88,-1.631017177792021
sample_043_2122.3g,80,80,8.047758874275308,8.044596213404372,8.016907639570782,8.075393248925453,0.023842150991206613,0.17592815151637886,-0.00020838210439827945,-0.012502926263896767,1.0,0.5999999999999999,0.8970001256745309,2122.3,7.12,0.927758874275308
sample_023_2154.8g,28,28,9.530721388961723,9.53989927219839,9.48676423950463,9.560937545572322,0.026461471267407586,0.0927866252001106,-0.00036680449263217223,-0.022008269557930334,1.0,0.6,0.8850047503145679,2154.8,11.18,-1.6492786110382767
sample_022_2240.1g,28,28,9.651882607561829,9.653713146725433,9.624873029811006,9.6905921914107,0.023151516122879034,0.08941174316862899,-0.002603344803124296,-0.15620068818745775,1.0,0.6,0.8851899653486909,2240.1,11.38,-1.7281173924381719
