timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status
4.453387975692749,0.24431991577148438,0.24431991577148438,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.523144960403442,-0.24567794799804688,-0.24567794799804688,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.585565090179443,-0.007915496826171875,-0.007915496826171875,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.655745983123779,-0.2541465759277344,-0.2541465759277344,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.718977928161621,-0.24103164672851562,-0.24103164672851562,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.788169860839844,-0.24380111694335938,-0.24380111694335938,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.85582709312439,-0.006061553955078125,-0.006061553955078125,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.9241368770599365,-0.014980316162109375,-0.014980316162109375,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
4.991560220718384,0.08510208129882812,0.08510208129882812,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.055754899978638,0.08897781372070312,0.08897781372070312,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.117548942565918,-0.2606773376464844,-0.2606773376464844,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.185086250305176,-0.2620277404785156,-0.2620277404785156,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.25465202331543,-0.020137786865234375,-0.020137786865234375,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.319875955581665,-0.2626609802246094,-0.2626609802246094,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.390263080596924,-0.2570610046386719,-0.2570610046386719,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.456682920455933,0.07047653198242188,0.07047653198242188,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.521077871322632,-0.020145416259765625,-0.020145416259765625,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.586227893829346,-0.018856048583984375,-0.018856048583984375,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.655349969863892,0.22897720336914062,0.22897720336914062,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.720463037490845,-0.019176483154296875,-0.019176483154296875,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.786829948425293,0.3420524597167969,0.3420524597167969,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.852386951446533,0.08322525024414062,0.08322525024414062,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.917855978012085,-0.15070724487304688,-0.15070724487304688,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
5.987826108932495,-0.2530021667480469,-0.2530021667480469,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.051326274871826,-0.2540245056152344,-0.2540245056152344,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.12545919418335,-0.003177642822265625,-0.003177642822265625,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.1949381828308105,-0.2521629333496094,-0.2521629333496094,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.256295204162598,-0.2543525695800781,-0.2543525695800781,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.322394132614136,-0.2562599182128906,-0.2562599182128906,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.387192964553833,-0.2573738098144531,-0.2573738098144531,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.4548258781433105,-0.2597160339355469,-0.2597160339355469,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.522003173828125,0.08679580688476562,0.08679580688476562,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.6206629276275635,0.14799880981445312,0.14799880981445312,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.689108848571777,0.14925765991210938,0.14925765991210938,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.753369092941284,-0.15013504028320312,-0.15013504028320312,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.818672180175781,0.11594009399414062,0.11594009399414062,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.88939094543457,0.3446159362792969,0.3446159362792969,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
6.9550371170043945,0.3464775085449219,0.3464775085449219,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.019117116928101,0.10129928588867188,0.10129928588867188,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.0837860107421875,0.10065078735351562,0.10065078735351562,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.1545140743255615,-0.2610435485839844,-0.2610435485839844,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.220258951187134,-0.2596626281738281,-0.2596626281738281,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.2867591381073,0.3286628723144531,0.3286628723144531,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.355547189712524,-0.2591514587402344,-0.2591514587402344,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.422427177429199,-0.15069961547851562,-0.15069961547851562,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.4905431270599365,-0.014987945556640625,-0.014987945556640625,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.558624029159546,0.3321952819824219,0.3321952819824219,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.620136260986328,0.3378868103027344,0.3378868103027344,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.686962127685547,0.3442344665527344,0.3442344665527344,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.755563974380493,0.3434410095214844,0.3434410095214844,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.819187879562378,-0.24124526977539062,-0.24124526977539062,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.8912739753723145,-0.24890518188476562,-0.24890518188476562,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
7.9540300369262695,-0.24805831909179688,-0.24805831909179688,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
8.019690990447998,-0.2554664611816406,-0.2554664611816406,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
8.08476209640503,-0.2542228698730469,-0.2542228698730469,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
8.158470153808594,-0.2551994323730469,-0.2551994323730469,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
8.225518941879272,-0.2558326721191406,-0.2558326721191406,0.10476303100585938,64.65555191040039,0.010476303100585938,0.6,tracking:fallback-aruco
